typing_speed,avg_hold_ms,std_hold_ms,avg_interkey_ms,backspace_rate,punctuation_rate,uppercase_rate,digit_rate,char_count,label
4.321854414619274,118.71182584822265,30.303097748921182,233.09652985896818,1.4084507042253522,7.042253521126761,0.0,0.0,71,0
4.277039415487933,121.02274140985246,25.84593574497076,234.77678674959964,0.9433962264150944,9.433962264150944,0.0,0.0,106,0
3.9237582535308824,121.38972392333505,25.16027547274106,255.95970925909404,2.608695652173913,6.086956521739131,0.0,0.0,115,0
4.268901203511028,117.56528405302329,33.71096788876574,237.69293716242862,2.7027027027027026,16.216216216216218,0.0,0.0,37,0
4.342914008901936,113.84526374225375,30.792028558298014,232.2880241049968,0.0,2.083333333333333,0.0,0.0,48,0
4.120890580873956,121.8356350191201,33.240971971074366,244.64285223326812,0.0,5.454545454545454,0.0,0.0,55,0
3.9454201382232053,121.18072949318501,33.479073422595185,259.60196971204846,0.0,6.666666666666667,0.0,0.0,30,0
4.203384542177558,122.84638838475745,29.793948879415684,238.5898958502564,0.0,4.545454545454546,0.0,0.0,66,0
4.11985819754867,124.59319597874932,26.989869533999137,243.9078070465171,2.4096385542168677,3.614457831325301,0.0,0.0,83,0
4.068058072997735,123.57201145245455,28.326594933977127,248.12475961643,0.0,3.125,0.0,0.0,64,0
4.343727109952433,118.9917791638942,30.71361586173824,233.37421774406664,0.0,5.405405405405405,0.0,0.0,37,0
4.551257396643443,113.77593582779585,33.05022732301167,223.32924913414132,0.0,4.878048780487805,0.0,0.0,41,0
4.203780233681246,118.97510638602779,34.77817129797315,239.39448487675514,0.0,6.8181818181818175,0.0,0.0,88,0
4.336811609169348,118.53926970468227,31.447216723967326,231.40619267630058,0.8928571428571428,5.357142857142857,0.0,0.0,112,0
4.088410454751282,119.69538028668944,31.046469235058858,246.54347225406252,0.0,4.6875,0.0,0.0,64,0
3.9952329505725044,128.84150902429292,32.485229044221704,251.6238465714702,4.444444444444445,10.0,0.0,0.0,90,0
4.122014849588129,118.14028111152805,26.730208524245015,244.29540413287634,0.0,5.0,0.0,0.0,100,0
4.255572568735465,115.75921318824332,27.816354553255188,236.40386158460296,5.194805194805195,10.38961038961039,0.0,0.0,77,0
3.97296228797906,123.63657164839935,33.660350371751214,253.2946148213267,2.3529411764705883,4.705882352941177,0.0,0.0,85,0
4.236562706289598,116.27664934706499,26.962977278176325,237.16959243113587,2.1052631578947367,6.315789473684211,0.0,0.0,95,0
4.1011722164441,122.80926467387815,29.31944877633006,245.62020609671782,1.2345679012345678,6.172839506172839,0.0,0.0,81,0
3.9302993325907334,123.33048748211256,25.109055927350468,256.2271572903938,0.0,11.25,0.0,0.0,80,0
4.1099917755644,124.14610797877761,29.336085124194533,247.11698901317823,0.0,7.317073170731707,0.0,0.0,41,0
4.220885465618636,120.53137406131263,33.07418150017478,238.41463007258827,2.5316455696202533,10.126582278481013,0.0,0.0,79,0
4.172321068234568,119.04260189647069,29.208117546364317,240.9803593010236,1.0869565217391304,3.260869565217391,0.0,0.0,92,0
4.023069924283273,122.68146003898495,30.965612931437786,250.00303129657186,1.098901098901099,7.6923076923076925,0.0,0.0,91,0
4.368850662559085,111.70604216218625,31.863060317668975,232.63233730479106,2.857142857142857,2.857142857142857,0.0,0.0,35,0
4.18107762518419,121.50887312326914,26.932942142354264,240.05691942266546,0.8620689655172413,6.896551724137931,0.0,0.0,116,0
4.1430960239220544,119.01224254071897,30.490252985114207,242.42276099152218,3.508771929824561,9.649122807017543,0.0,0.0,114,0
4.235167075971682,120.67714237414782,28.813764887614287,236.86806860504888,0.9259259259259258,6.481481481481481,0.0,0.0,108,0
4.220012257267873,115.35936792135688,28.492705795134135,239.01810224497092,0.0,7.142857142857142,0.0,0.0,70,0
4.232884712700738,119.06464092921404,32.80210360104333,239.78967058251612,0.0,2.7027027027027026,0.0,0.0,37,0
4.369711299660285,130.68677790991995,27.524279622305297,232.3270143031048,0.0,5.0,0.0,0.0,20,0
4.177773076993211,130.4687655460858,32.36813958109742,243.51359058325323,0.0,0.0,0.0,0.0,38,0
4.1487746313196325,118.92475430322052,32.51446274269089,241.8057609351037,2.7027027027027026,5.405405405405405,0.0,0.0,111,0
